subjectID,tractID,nodeID,rd,fa,cl,ad,md
subject_000,Left Thalamic Radiation,0,0.656031966594,0.183053140307,0.081920975767,0.87553514364,0.729199692276
subject_000,Left Thalamic Radiation,1,0.61330832452,0.247121477117,0.11547963522,0.909085085145,0.711900578062
subject_000,Left Thalamic Radiation,2,0.574611527345,0.306726350447,0.15176556405,0.944571994428,0.69793168304
subject_000,Left Thalamic Radiation,3,0.549867624438,0.343995004582,0.176123735501,0.966964027361,0.688899758746
subject_000,Left Thalamic Radiation,4,0.53018963701,0.373868520141,0.194395847262,0.98503871886,0.681805997627
subject_000,Left Thalamic Radiation,5,0.518739679593,0.386418759399,0.197977121992,0.982327678831,0.673269012672
subject_000,Left Thalamic Radiation,6,0.510587098201,0.394694117433,0.199921543206,0.978062320421,0.666412172275
subject_000,Left Thalamic Radiation,7,0.502649026423,0.402363323395,0.203605413677,0.974973551275,0.660090534707
subject_000,Left Thalamic Radiation,8,0.496058028801,0.410166662401,0.206660277566,0.974354129136,0.655490062246
subject_000,Left Thalamic Radiation,9,0.492965360099,0.414457898672,0.210342893506,0.977338187866,0.654422969355
subject_000,Left Thalamic Radiation,10,0.491646585053,0.41563166157,0.213066039887,0.979310442566,0.654201204224
subject_000,Left Thalamic Radiation,11,0.494386275304,0.407633496201,0.208222479334,0.969644544052,0.65280569822
subject_000,Left Thalamic Radiation,12,0.499502585703,0.394856626909,0.197262717767,0.953571707275,0.65085895956
subject_000,Left Thalamic Radiation,13,0.504487082164,0.379752326368,0.182534524766,0.932204219952,0.647059461427
subject_000,Left Thalamic Radiation,14,0.508592055676,0.369659086878,0.169684714442,0.916014210288,0.644399440547
subject_000,Left Thalamic Radiation,15,0.510557253912,0.368234527714,0.167137958195,0.915492045137,0.645535517653
subject_000,Left Thalamic Radiation,16,0.510194312408,0.371172268231,0.172454016309,0.923703541712,0.648030722176
subject_000,Left Thalamic Radiation,17,0.509470853481,0.376154797053,0.178120356881,0.933555425957,0.65083237764
subject_000,Left Thalamic Radiation,18,0.510507234343,0.380762946172,0.181338677146,0.94443900813,0.655151158939
subject_000,Left Thalamic Radiation,19,0.512423114211,0.383966813867,0.182745834121,0.954272351719,0.65970619338
subject_000,Left Thalamic Radiation,20,0.513563440112,0.384999669322,0.181143114681,0.956744471659,0.661290450628
subject_000,Left Thalamic Radiation,21,0.512132657965,0.385922597855,0.17916828133,0.952989714008,0.65908500998
subject_000,Left Thalamic Radiation,22,0.507260051927,0.3924055672,0.181627858888,0.953014826558,0.655844976804
subject_000,Left Thalamic Radiation,23,0.499916007668,0.402096757332,0.187932048605,0.955845662155,0.651892559164
subject_000,Left Thalamic Radiation,24,0.493305088075,0.411248882054,0.195990657259,0.96182423175,0.649478135967
subject_000,Left Thalamic Radiation,25,0.488982179842,0.420151645665,0.205059586998,0.972428340608,0.650130900098
subject_000,Left Thalamic Radiation,26,0.487940420019,0.426700022584,0.212767487027,0.985644323922,0.65384172132
subject_000,Left Thalamic Radiation,27,0.488206782869,0.433470554487,0.219468989052,1.00180132201,0.659404962583
subject_000,Left Thalamic Radiation,28,0.486426503474,0.442703781548,0.227174333985,1.0180871954,0.663646734117
subject_000,Left Thalamic Radiation,29,0.484686880003,0.450309228545,0.234266172118,1.0311404767,0.666838078902
subject_000,Left Thalamic Radiation,30,0.48381933774,0.45316018286,0.237819569359,1.03555075382,0.667729809766
subject_000,Left Thalamic Radiation,31,0.481486906389,0.45439884691,0.239907365659,1.03281104825,0.665261620342
subject_000,Left Thalamic Radiation,32,0.477965031377,0.455006398077,0.241107933879,1.02569046048,0.66054017441
subject_000,Left Thalamic Radiation,33,0.473923803276,0.455468486149,0.240692001257,1.01619708079,0.654681562447
subject_000,Left Thalamic Radiation,34,0.469049214054,0.456106648516,0.238690159397,1.00546548033,0.647854636146
subject_000,Left Thalamic Radiation,35,0.465436002801,0.457685432258,0.236144822343,0.998453086781,0.643108364127
subject_000,Left Thalamic Radiation,36,0.463617952603,0.458241758663,0.232811899483,0.992897312364,0.640044405856
subject_000,Left Thalamic Radiation,37,0.46039333126,0.458615457641,0.230703082372,0.98460964408,0.6351321022
subject_000,Left Thalamic Radiation,38,0.455496836184,0.460640746706,0.23177082374,0.977672752975,0.629555475114
subject_000,Left Thalamic Radiation,39,0.452784802681,0.463630629758,0.234264414809,0.977752659704,0.627774088356
subject_000,Left Thalamic Radiation,40,0.453050452931,0.466247783157,0.235417534503,0.98218443122,0.629428445694
subject_000,Left Thalamic Radiation,41,0.451199670926,0.469774845718,0.237636350507,0.984442534828,0.628947292227
subject_000,Left Thalamic Radiation,42,0.445476680154,0.474043091999,0.241205898867,0.980337220774,0.623763527027
subject_000,Left Thalamic Radiation,43,0.440594424839,0.478021210136,0.245946490436,0.978507529995,0.619898793224
subject_000,Left Thalamic Radiation,44,0.441856557067,0.477412581534,0.247328656654,0.980650519767,0.621454544634
subject_000,Left Thalamic Radiation,45,0.444553740915,0.475688563337,0.248384301015,0.98420556347,0.624437681766
subject_000,Left Thalamic Radiation,46,0.446224005188,0.475455328519,0.250420404904,0.988985352852,0.627144454409
subject_000,Left Thalamic Radiation,47,0.447473520539,0.476175531506,0.252941560104,0.995747503461,0.630231514846
subject_000,Left Thalamic Radiation,48,0.448121400735,0.47634053888,0.254951879647,0.999951847527,0.632064882999
subject_000,Left Thalamic Radiation,49,0.447490636722,0.476765428985,0.256953233267,1.00235874784,0.632446673762
subject_000,Left Thalamic Radiation,50,0.444242165311,0.479070392225,0.259719309078,1.00234243692,0.630275589179
subject_000,Left Thalamic Radiation,51,0.4395379022,0.482952779043,0.263278570376,1.00099237389,0.626689392765
subject_000,Left Thalamic Radiation,52,0.436440892739,0.486191315758,0.265197813007,1.00011377703,0.624331854171
subject_000,Left Thalamic Radiation,53,0.435254905489,0.489224754991,0.265064436173,1.0005316574,0.62368048946
subject_000,Left Thalamic Radiation,54,0.435413441835,0.490754644517,0.263651996908,1.00048514665,0.623770676774
subject_000,Left Thalamic Radiation,55,0.4345001397,0.493971837247,0.262328298229,1.00041308632,0.623137788574
subject_000,Left Thalamic Radiation,56,0.4318917738,0.498233678827,0.261644725629,0.999344307367,0.621042618323
subject_000,Left Thalamic Radiation,57,0.428681546039,0.505080018071,0.263504598778,1.00256413223,0.619975741437
subject_000,Left Thalamic Radiation,58,0.423922689172,0.513755246837,0.268257780696,1.00760213258,0.618482503643
subject_000,Left Thalamic Radiation,59,0.419536181816,0.518739940408,0.272134550283,1.0079728313,0.615681731645
subject_000,Left Thalamic Radiation,60,0.415116812942,0.521541614182,0.276127384212,1.00629423653,0.612175954138
subject_000,Left Thalamic Radiation,61,0.410194160819,0.525321828638,0.281315529523,1.00673122423,0.609039848624
subject_000,Left Thalamic Radiation,62,0.407961853245,0.526292887793,0.284765162994,1.00690042722,0.607608044569
subject_000,Left Thalamic Radiation,63,0.406610203524,0.528652464609,0.289371547343,1.00960309739,0.607607834813
subject_000,Left Thalamic Radiation,64,0.405035900366,0.531667811166,0.294131936785,1.01373783742,0.60793654605
subject_000,Left Thalamic Radiation,65,0.403763578545,0.534239095067,0.29792661741,1.01836363044,0.60863026251
subject_000,Left Thalamic Radiation,66,0.402304673558,0.536163951003,0.299646321941,1.01990451828,0.608171288466
subject_000,Left Thalamic Radiation,67,0.401486401903,0.535749655533,0.298996223777,1.01556656809,0.606179790632
subject_000,Left Thalamic Radiation,68,0.403110712815,0.533080316809,0.298097043946,1.01319529791,0.606472241181
subject_000,Left Thalamic Radiation,69,0.404169959718,0.532688577669,0.298510254599,1.01576610721,0.608035342215
subject_000,Left Thalamic Radiation,70,0.406679112395,0.530251358526,0.294833725109,1.0146915437,0.609349922829
subject_000,Left Thalamic Radiation,71,0.412579981942,0.523180077529,0.285614400544,1.00964466622,0.611601543369
subject_000,Left Thalamic Radiation,72,0.421336026544,0.512709228107,0.273272480039,1.00421812662,0.615630059903
subject_000,Left Thalamic Radiation,73,0.429960128155,0.499425535614,0.261169097245,0.995582330272,0.618500862194
subject_000,Left Thalamic Radiation,74,0.435836613466,0.486929190175,0.251071144693,0.983322822619,0.618332016517
subject_000,Left Thalamic Radiation,75,0.441200445962,0.475235320918,0.242367247885,0.971542161453,0.617981017793
subject_000,Left Thalamic Radiation,76,0.447048537231,0.461115698853,0.231724854777,0.957306630434,0.617134568299
subject_000,Left Thalamic Radiation,77,0.45133537368,0.44766812254,0.222531668459,0.943140829121,0.615270525494
subject_000,Left Thalamic Radiation,78,0.456216228706,0.436990791315,0.217021254263,0.936731201793,0.616387886402
subject_000,Left Thalamic Radiation,79,0.466033923194,0.425624731505,0.211326261054,0.937504360461,0.623190735616
subject_000,Left Thalamic Radiation,80,0.474703341449,0.419814980091,0.208245663426,0.943787916829,0.631064866576
subject_000,Left Thalamic Radiation,81,0.477628111092,0.421377377211,0.209669031528,0.951402524535,0.635552915573
subject_000,Left Thalamic Radiation,82,0.476409234065,0.42642801081,0.213486966941,0.957494625683,0.636771031271
subject_000,Left Thalamic Radiation,83,0.472660714808,0.430257837779,0.216629168775,0.957609194773,0.634310208129
subject_000,Left Thalamic Radiation,84,0.467233064174,0.435379580342,0.219108630281,0.955282748542,0.629916292297
subject_000,Left Thalamic Radiation,85,0.462343249375,0.441564143683,0.21987552276,0.952619569293,0.625768689348
subject_000,Left Thalamic Radiation,86,0.460783761687,0.442937859453,0.215891302817,0.947028209281,0.622865244218
subject_000,Left Thalamic Radiation,87,0.465596451753,0.43704718199,0.209354648093,0.943826105518,0.625006336342
subject_000,Left Thalamic Radiation,88,0.471416162366,0.42556259331,0.206673927242,0.940928658951,0.627920327894
subject_000,Left Thalamic Radiation,89,0.475997858923,0.415729890385,0.204463136266,0.936513027723,0.62950291519
subject_000,Left Thalamic Radiation,90,0.484482493754,0.40371229516,0.197300939752,0.931859171802,0.633608053103
subject_000,Left Thalamic Radiation,91,0.494746459879,0.389567215548,0.188241873646,0.926925743278,0.638806221012
subject_000,Left Thalamic Radiation,92,0.505092461848,0.374563676951,0.178118597205,0.919124153354,0.643103025683
subject_000,Left Thalamic Radiation,93,0.519835133371,0.355296322387,0.163776491722,0.908980141832,0.649550136191
subject_000,Left Thalamic Radiation,94,0.532262174369,0.335026414948,0.150782078672,0.894768309242,0.65309755266
subject_000,Left Thalamic Radiation,95,0.541143183009,0.317560197266,0.140823019382,0.883533061136,0.655273142384
subject_000,Left Thalamic Radiation,96,0.551270013936,0.303499761743,0.13157433142,0.879535488114,0.660691838662
subject_000,Left Thalamic Radiation,97,0.557421666161,0.281130104675,0.118730465856,0.856156361468,0.65699989793
subject_000,Left Thalamic Radiation,98,0.560924257764,0.247955732017,0.102875476206,0.813622745896,0.645157087141
subject_000,Left Thalamic Radiation,99,0.574619474093,,0.0802680445933,0.779966953281,0.643068633822
subject_000,Right Thalamic Radiation,0,0.636569189287,0.230665860984,0.0648070912075,0.861709531911,0.711615970162
subject_000,Right Thalamic Radiation,1,0.600552517226,0.287947660799,0.102378576156,0.90640325108,0.702502761844
subject_000,Right Thalamic Radiation,2,0.562011152576,0.342786558892,0.142851855156,0.94712982016,0.690384041771
subject_000,Right Thalamic Radiation,3,0.531379634044,0.379610394309,0.168234969116,0.961336028615,0.674698432234
subject_000,Right Thalamic Radiation,4,0.510210406163,0.403648790586,0.181172125234,0.964713730177,0.661711514168
subject_000,Right Thalamic Radiation,5,0.502074902681,0.409437034424,0.180060409949,0.956315935455,0.653488580273
subject_000,Right Thalamic Radiation,6,0.498828377487,0.407210046457,0.175587871443,0.944829622176,0.64749545905
subject_000,Right Thalamic Radiation,7,0.497360835416,0.402465151221,0.168856070561,0.930766899747,0.641829523526
subject_000,Right Thalamic Radiation,8,0.496577324268,0.401371040572,0.164811071257,0.923840066567,0.638998238368
subject_000,Right Thalamic Radiation,9,0.495031165161,0.401978839082,0.163008596666,0.919288849725,0.636450393349
subject_000,Right Thalamic Radiation,10,0.493639192428,0.402865477602,0.161915264022,0.916164525696,0.634480970184
subject_000,Right Thalamic Radiation,11,0.492904081612,0.403985912006,0.162637374158,0.916729297579,0.634179153601
subject_000,Right Thalamic Radiation,12,0.492070615979,0.40386837426,0.162203016179,0.914609520135,0.632916917364
subject_000,Right Thalamic Radiation,13,0.490676970054,0.403340868634,0.161377830693,0.9104340623,0.630596000802
subject_000,Right Thalamic Radiation,14,0.490307038206,0.401355066917,0.159999818606,0.905874185512,0.628829420641
subject_000,Right Thalamic Radiation,15,0.490775717219,0.398392268713,0.157806279044,0.900595473389,0.627382302609
subject_000,Right Thalamic Radiation,16,0.490814035661,0.395176422702,0.155878520984,0.894709000567,0.62544569063
